# Labelled Samples, Accuracy, F1 Score
198,92.089,91.980
396,94.367,94.362
594,95.211,95.214
792,95.633,95.640
990,96.056,96.062
1188,96.344,96.351
1386,96.400,96.405
1584,96.611,96.618
1782,96.756,96.762
1980,96.911,96.917
2178,97.000,97.006
2376,97.033,97.040
2574,97.033,97.040
2772,97.156,97.162
2970,97.100,97.107
3168,97.178,97.184
3366,97.167,97.173
3564,97.100,97.107
3762,97.122,97.129
3960,97.233,97.239
4158,97.278,97.282
4356,97.267,97.273
4554,97.300,97.305
4752,97.267,97.272
4950,97.189,97.193
5148,97.144,97.149
5346,97.167,97.171
5544,97.144,97.149
5742,97.256,97.260
5940,97.267,97.272
6138,97.233,97.238
6336,97.211,97.216
6534,97.189,97.194
6732,97.156,97.161
6930,97.178,97.184
7128,97.144,97.151
7326,97.144,97.151
7524,97.211,97.217
7722,97.244,97.251
7920,97.233,97.239
8118,97.267,97.272
8316,97.267,97.272
8514,97.244,97.250
8712,97.233,97.239
8910,97.222,97.228
9108,97.244,97.250
9306,97.233,97.239
9504,97.233,97.239
9702,97.256,97.261
9900,97.256,97.262
